종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1846","1","0.05","1850","1860","1829","185828","342519092","97946987840","53059040"
"095570","AJ네트웍스","KOSPI",,"4405","-40","-0.90","4455","4455","4330","355170","1554182240","199338403395","45252759"
"006840","AK홀딩스","KOSPI",,"11120","50","0.45","11070","11140","11030","4542","50257380","147312878320","13247561"
"054620","APS","KOSDAQ","중견기업부","4595","-5","-0.11","4595","4630","4515","13136","59909595","91413945495","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","19420","140","0.73","19480","19630","19110","229282","4430793245","292286943820","15050821"
"211270","AP위성","KOSDAQ","우량기업부","12940","-60","-0.46","13000","13020","12730","62008","797412620","195165013760","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4010","-10","-0.25","4020","4060","3955","97577","390529385","383824331910","95716791"
"282330","BGF리테일","KOSPI",,"109900","600","0.55","109100","110200","108400","69727","7623825374","1899501269400","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3030","10","0.33","3025","3065","3005","76717","232570030","190183703970","62766899"
"138930","BNK금융지주","KOSPI",,"14880","-300","-1.98","15050","15190","14760","2064405","30751234895","4678646291520","314425154"
"001460","BYC","KOSPI",,"39300","-50","-0.13","39700","39950","38900","3832","150527175","245473695000","6246150"
"001465","BYC우","KOSPI",,"25800","-200","-0.77","26000","26000","25400","1360","34997750","55569330000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1768","-40","-2.21","1807","1807","1752","1046019","1849416873","135948913776","76894182"
"001040","CJ","KOSPI",,"203000","-2500","-1.22","205000","205500","200000","140578","28448827250","5922930594000","29176998"
"079160","CJ CGV","KOSPI",,"5220","30","0.58","5190","5280","5170","340559","1782994875","864334046700","165581235"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","79000","2000","2.60","76200","79000","76200","80160","6255173650","1732403166000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","10080","-10","-0.10","10140","10280","10040","9457","95784360","131699856960","13065462"
"00104K","CJ4우(전환)","KOSPI",,"172000","-2600","-1.49","174000","174300","169000","13684","2341971400","726960064000","4226512"
"000120","CJ대한통운","KOSPI",,"84400","-1100","-1.29","85100","85500","84000","35332","2983887950","1925361833600","22812344"
"011150","CJ씨푸드","KOSPI",,"2900","10","0.35","2890","2900","2885","74689","216130908","104199241700","35930773"
"011155","CJ씨푸드1우","KOSPI",,"16880","220","1.32","16660","16880","16660","30","501340","3376000000","200000"
"001045","CJ우","KOSPI",,"108000","4500","4.35","103500","108000","102500","25344","2696518000","244104084000","2260223"
"097950","CJ제일제당","KOSPI",,"237500","-1500","-0.63","239000","239500","236000","56329","13359264750","3575369175000","15054186"
"097955","CJ제일제당 우","KOSPI",,"142500","100","0.07","142000","142500","141100","4082","578908500","189159202500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","28350","-300","-1.05","28650","28900","28250","28057","799584550","336559463100","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1861","-37","-1.95","1900","1913","1858","653370","1229863226","274823489509","147675169"
"056730","CNT85","KOSDAQ","벤처기업부","735","8","1.10","735","735","726","8468","6179179","54471721710","74111186"
"000480","CR홀딩스","KOSPI",,"4995","-5","-0.10","5010","5030","4990","16140","80716422","234217997550","46890490"
"065770","CS","KOSDAQ","벤처기업부","971","1","0.10","977","980","966","52187","50700852","18848207230","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","790","12","1.54","751","842","749","1765478","1395266899","48385272990","61247181"
"000590","CS홀딩스","KOSPI",,"88100","-500","-0.56","88500","88500","86600","1121","98126900","101709864200","1154482"
"012030","DB","KOSPI",,"1608","-15","-0.92","1625","1643","1588","996990","1602385610","323487684264","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2085","0","0.00","2080","2090","2080","982","2046150","12176400000","5840000"
"005830","DB손해보험","KOSPI",,"140800","1900","1.37","137600","140800","137600","259656","36319400950","9968640000000","70800000"
"016610","DB증권","KOSPI",,"9900","-10","-0.10","9930","10000","9840","127709","1268856375","420219251100","42446389"
"000990","DB하이텍","KOSPI",,"58400","1200","2.10","58100","60000","56900","429332","24940844300","2592877539200","44398588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1568","215","15.89","1488","1758","1400","18947245","31573878805","40962477472","26124029"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","162944308992","82129188"
"290120","DH오토리드","KOSDAQ","우량기업부","2405","30","1.26","2375","2425","2375","8470","20347278","38057318845","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","778","0","0.00","778","784","777","27621","21512466","37951792272","48781224"
"001530","DI동일","KOSPI",,"36700","-300","-0.81","37000","37200","36650","81768","3005923150","724064576000","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"37550","-550","-1.44","37950","38050","37200","63524","2387022125","786893444200","20955884"
"000215","DL우","KOSPI",,"23700","-100","-0.42","24300","24300","23550","2871","67970825","39960925500","1686115"
"375500","DL이앤씨","KOSPI",,"42400","-750","-1.74","42900","43200","42200","172738","7325643650","1640609615200","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"30700","-600","-1.92","31350","31350","30700","962","29619400","64836895700","2111951"
"37550K","DL이앤씨우","KOSPI",,"19790","-120","-0.60","19910","20050","19770","3127","62080080","41833784150","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"23750","-700","-2.86","24350","24400","23500","117370","2792825925","1389633043750","58510865"
"004840","DRB동일","KOSPI",,"4995","-85","-1.67","5080","5080","4960","16174","80809235","99550350000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","7730","50","0.65","7680","7740","7520","466383","3565668710","208710000000","27000000"
"155660","DSR","KOSPI",,"3765","-5","-0.13","3770","3810","3760","9855","37195775","60240000000","16000000"
"069730","DSR제강","KOSPI",,"3770","10","0.27","3770","3850","3765","11504","43457475","54288000000","14400000"
"017860","DS단석","KOSPI",,"22250","-300","-1.33","22850","23250","22050","147707","3327012925","391248717000","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","2220","-40","-1.77","2260","2320","2210","130402","293182173","109267139040","49219432"
"092780","DYP","KOSPI",,"3980","-10","-0.25","4005","4005","3930","15190","60093482","52410470800","13168460"
"017940","E1","KOSPI",,"78100","-1800","-2.25","80500","80700","78100","16355","1287172800","535766000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","3775","-55","-1.44","3820","3820","3700","33781","126775350","48510550675","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","5590","-30","-0.53","5630","5630","5540","12597","70269120","48213593480","8624972"
"278990","EMB","KONEX","일반기업부","2825","-15","-0.53","2825","2825","2825","3","8475","13664047575","4836831"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4570","-15","-0.33","4585","4610","4515","2606768","11909908281","1124626730000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","2805","15","0.54","2785","2875","2750","9309","25935635","38047261230","13564086"
"383220","F&F","KOSPI",,"67500","-1200","-1.75","67900","68700","66000","49891","3378839300","2585727562500","38307075"
"007700","F&F홀딩스","KOSPI",,"19620","-370","-1.85","19990","20150","19500","38858","765616210","767423880540","39114367"
"214270","FSN","KOSDAQ","중견기업부","2515","0","0.00","2515","2560","2495","186064","469101042","109882761885","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2740","0","0.00","2740","2755","2730","26969","73928853","39853442480","14545052"
"114090","GKL","KOSPI",,"17180","-50","-0.29","17340","17530","16890","444357","7589910010","1062680410600","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3015","-45","-1.47","3070","3120","3005","181737","553175065","243762750000","80850000"
"078930","GS","KOSPI",,"46000","-1000","-2.13","46800","47000","45800","177406","8176573375","4274107388000","92915378"
"083450","GST","KOSDAQ","우량기업부","22350","-300","-1.32","23150","23200","22150","267795","6013270675","411910500000","18430000"
"006360","GS건설","KOSPI",,"18900","-280","-1.46","19110","19140","18710","544210","10263975900","1617490161000","85581490"
"001250","GS글로벌","KOSPI",,"2590","-20","-0.77","2610","2620","2575","427978","1107806777","213762448760","82533764"
"007070","GS리테일","KOSPI",,"16610","-130","-0.78","16710","16990","16470","142918","2374164390","1388719163150","83607415"
"078935","GS우","KOSPI",,"43250","-450","-1.03","43700","44150","43200","4082","177326425","77193724500","1784826"
"499790","GS피앤엘","KOSPI",,"56200","-1400","-2.43","57400","57800","55900","107594","6090680900","1114493264200","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2675","-20","-0.74","2750","2750","2660","523143","1401148400","195651944950","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2210","5","0.23","2205","2230","2195","76048","168388325","59906492100","27107010"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2050","-45","-2.15","2130","2140","2040","903236","1869102920","190067627800","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","3360","-20","-0.59","3395","3395","3300","45823","152542490","122098122720","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","714","-13","-1.79","710","727","708","223193","159099478","91156040850","127669525"
"012630","HDC","KOSPI",,"19190","-480","-2.44","19500","19560","18850","348115","6627822840","1146443625990","59741721"
"039570","HDC랩스","KOSPI",,"8620","40","0.47","8600","8640","8500","8703","74525220","223754520620","25957601"
"089470","HDC현대EP","KOSPI",,"4125","0","0.00","4090","4130","4090","49242","202341895","131587500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"20950","-50","-0.24","21050","21100","20600","123549","2568382500","1380758563500","65907330"
"009540","HD한국조선해양","KOSPI",,"407500","-4500","-1.09","409500","411000","405000","127628","52059336250","28840044770000","70773116"
"267250","HD현대","KOSPI",,"161300","-500","-0.31","161200","162200","159400","210092","33790806000","12741584610500","78993085"
"267270","HD현대건설기계","KOSPI",,"102000","4300","4.40","97800","102400","97100","217069","21921832050","1770476526000","17357613"
"443060","HD현대마린솔루션","KOSPI",,"210000","1000","0.48","207500","210000","207500","40362","8442705250","9414134100000","44829210"
"071970","HD현대마린엔진","KOSPI",,"86000","-1900","-2.16","87000","88900","86000","930337","80311338350","2917248570000","33921495"
"010620","HD현대미포","KOSPI",,"196700","-900","-0.46","197700","198400","195900","155428","30597304800","7856620708300","39942149"
"322000","HD현대에너지솔루션","KOSPI",,"51700","500","0.98","50800","51700","50100","82141","4176389500","579040000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"16590","240","1.47","16230","16840","16040","1896695","31412871105","3133042038420","188851238"
"267260","HD현대일렉트릭","KOSPI",,"582000","-12000","-2.02","591000","593000","576000","183897","107120712813","20979432570000","36047135"
"329180","HD현대중공업","KOSPI",,"493000","-6500","-1.30","500000","501000","490000","183243","90648870500","43765146188000","88773116"
"097230","HJ중공업","KOSPI",,"29150","150","0.52","28400","29650","26500","9185232","256267169025","2427445291150","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","46550","750","1.64","45650","47600","45500","212146","9884164400","1318756426050","28329891"
"014790","HL D&I","KOSPI",,"2455","-50","-2.00","2505","2520","2450","53779","132932454","92942865455","37858601"
"028300","HLB","KOSDAQ","중견기업부","39550","-100","-0.25","39550","39900","38900","475451","18717377275","5198414743900","131439058"
"003580","HLB글로벌","KOSPI",,"2205","-15","-0.68","2245","2260","2195","717261","1583063631","110948054490","50316578"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","1376","11","0.81","1370","1391","1335","449295","616243313","119719621664","87005539"
"343090","HLB사이언스","KONEX","일반기업부","1708","-4","-0.23","1530","1720","1530","98205","165410017","30473813188","17841811"
"067630","HLB생명과학","KOSDAQ","투자주의환기종목(소속부없음)","3400","-80","-2.30","3480","3490","3375","489477","1667851544","414517997200","121917058"
"024850","HLB이노베이션","KOSDAQ","중견기업부","1939","9","0.47","1929","1950","1890","302835","582985945","279805694497","144304123"
"187420","HLB제넥스","KOSDAQ","기술성장기업부","3330","-10","-0.30","3345","3370","3265","21635","71283825","97022487060","29135882"
"047920","HLB제약","KOSDAQ","기술성장기업부","14350","-180","-1.24","14530","14680","14000","67546","967929780","470670758600","32799356"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","3345","-105","-3.04","3455","3465","3290","432277","1449808101","282258669735","84382263"
"046210","HLB파나진","KOSDAQ","벤처기업부","1699","-20","-1.16","1720","1726","1697","64765","110583098","76670293882","45126718"
"196300","HLB펩","KOSDAQ","관리종목(소속부없음)","7280","-120","-1.62","7420","7420","7250","2833","20755370","67655937440","9293398"
"204320","HL만도","KOSPI",,"35550","0","0.00","35400","35700","34850","186198","6561507550","1669325616000","46957120"
"060980","HL홀딩스","KOSPI",,"41100","0","0.00","41100","41700","40500","9249","376658075","378673904700","9213477"
"011200","HMM","KOSPI",,"22450","-550","-2.39","23050","23050","22450","2382968","53957899800","23012136685200","1025039496"
"403870","HPSP","KOSDAQ GLOBAL","우량기업부","33150","2550","8.33","32300","34150","31150","4056963","133583206725","2767977529200","83498568"
"036640","HRS","KOSDAQ","우량기업부","5400","-40","-0.74","5450","5450","5380","43315","234019280","88315920000","16354800"
"035000","HS애드","KOSPI",,"8860","-230","-2.53","9090","9110","8840","50456","450514850","146787243740","16567409"
"002460","HS화성","KOSPI",,"10360","-100","-0.96","10390","10610","10330","24408","255393240","105154000000","10150000"
"487570","HS효성","KOSPI",,"62400","-700","-1.11","63900","63900","61900","15007","939342850","232497844800","3725927"
"298050","HS효성첨단소재","KOSPI",,"190200","-3000","-1.55","193200","194500","189200","9586","1827245450","852086109600","4479948"
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)","2270","75","3.42","2190","2290","2190","276196","615793270","9556700000","4210000"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","2275","0","0.00","0","0","0","0","0","10078250000","4430000"
"467930","IBKS제23호스팩","KOSDAQ","SPAC(소속부없음)","2175","5","0.23","2170","2175","2155","1982","4287485","9200250000","4230000"
"469480","IBKS제24호스팩","KOSDAQ","SPAC(소속부없음)","2180","10","0.46","2175","2180","2170","492","1072175","9221400000","4230000"
"003560","IHQ","KOSPI",,"10760","0","0.00","0","0","0","0","0","76220934800","7083730"
"015360","INVENI","KOSPI",,"62100","-200","-0.32","62500","62500","61900","3812","236954150","372600000000","6000000"
"095340","ISC","KOSDAQ GLOBAL","우량기업부","76700","1900","2.54","77000","78600","75100","251479","19282612900","1625814348600","21197058"
"175330","JB금융지주","KOSPI",,"24150","50","0.21","23500","24150","23500","2375600","57214279775","4617072927600","191183144"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","7320","210","2.95","7090","7350","6920","139903","996114890","378783267360","51746348"
"234080","JW생명과학","KOSPI",,"12090","150","1.26","12000","12140","11940","40068","483863710","191439757860","15834554"
"067290","JW신약","KOSDAQ","중견기업부","1518","11","0.73","1507","1525","1499","49256","74609425","81024959268","53376126"
"001060","JW중외제약","KOSPI",,"22350","200","0.90","22100","22450","21950","43218","958529600","520440535500","23285930"
"001067","JW중외제약2우B","KOSPI",,"59500","600","1.02","58900","59600","58100","217","12670600","12493393500","209973"
"001065","JW중외제약우","KOSPI",,"27700","-50","-0.18","27600","27700","27600","104","2875800","9472042700","341951"
"096760","JW홀딩스","KOSPI",,"3350","-5","-0.15","3360","3390","3325","42738","143418240","247648555700","73924942"
"035900","JYP Ent.","KOSDAQ GLOBAL","우량기업부","78000","900","1.17","77100","78000","76400","407250","31503346650","2771534376000","35532492"
"318000","KBG","KOSDAQ","벤처기업부","5120","-90","-1.73","5210","5250","5120","48333","250608585","44749941760","8740223"
"008970","KBI동양철관","KOSPI",,"2635","-80","-2.95","2710","2800","2570","2772013","7295684511","210538889945","79900907"
"024840","KBI메탈","KOSDAQ","중견기업부","1938","-43","-2.17","1970","1977","1931","729690","1421391291","67654027662","34909199"
"105560","KB금융","KOSPI",,"116500","-900","-0.77","115800","117400","115400","1313729","152953416650","44440334999500","381462103"
"415640","KB발해인프라","KOSPI",,"8790","-20","-0.23","8760","8870","8700","142143","1245075870","1077175366920","122545548"
"432320","KB스타리츠","KOSPI",,"3925","5","0.13","3920","3925","3900","58199","227758957","398051068625","101414285"
"024120","KB오토시스","KOSDAQ","중견기업부","3450","-45","-1.29","3480","3485","3435","62698","216599299","39675000000","11500000"
"455250","KB제25호스팩","KOSDAQ","SPAC(소속부없음)","2100","-5","-0.24","2085","2100","2085","4943","10330840","9040500000","4305000"
"464680","KB제27호스팩","KOSDAQ","SPAC(소속부없음)","2050","0","0.00","2045","2055","2040","49123","100544051","26455250000","12905000"
"478390","KB제29호스팩","KOSDAQ","SPAC(소속부없음)","2065","0","0.00","2067","2070","2065","631","1303221","12844300000","6220000"
"486630","KB제30호스팩","KOSDAQ","SPAC(소속부없음)","2020","-15","-0.74","2030","2030","2020","9984","20199331","10726200000","5310000"
"492220","KB제31호스팩","KOSDAQ","SPAC(소속부없음)","2010","-10","-0.50","2010","2020","2010","1147","2308321","12482100000","6210000"
