회사명,종목코드,영업이익(억),부채비율(%),시가총액(원)
NAVER,035420,15.87,44.56,35569100000000
NICE평가정보,030190,14.92,40.82,933700000000
SK바이오사이언스,302440,25.18,22.98,3655900000000
경농,002100,11.33,72.23,192100000000
금호석유화학,011780,14.38,35.89,2865600000000
대덕전자,353200,17.67,39.39,1153900000000
덴티움,145720,35.32,80.77,680700000000
동화약품,000020,8.79,21.78,182700000000
롯데에너지머티리얼즈,020150,11.62,22.12,1421700000000
엔씨소프트,036570,21.74,38.74,4524200000000
우진,105840,9.59,28.59,225000000000
코오롱ENP,138490,8.89,51.35,251200000000
쿠쿠홈시스,284740,12.79,27.99,646200000000
퍼시스,016800,8.57,15.19,517500000000
풍산홀딩스,005810,20.68,18.48,582500000000
한국카본,017960,6.71,44.82,1585800000000
한일홀딩스,003300,6.74,59.64,568900000000
한진칼,180640,7.23,51.98,7964700000000
현대오토에버,307950,5.17,75.76,4179400000000
DSC인베스트먼트,241520,55.79,32.42,168500000000
GRT,900290,12.21,86.15,242100000000
HPSP,403870,53.46,33.55,2262800000000
감성코퍼레이션,036620,13.84,64.87,551200000000
금화피에스시,036190,11.23,34.72,201000000000
나노엔텍,039860,12.45,9.76,113800000000
노바텍,285490,23.96,9.59,232700000000
더네이쳐홀딩스,298540,18.23,77.51,169600000000
동구바이오제약,006620,8.74,68.51,144600000000
로체시스템즈,071280,18.29,28.05,191100000000
마녀공장,439090,24.05,20.4,286500000000
메타바이오메드,059210,7.78,90.85,167000000000
바이오다인,314930,54.73,2.84,455400000000
바텍,043150,20.16,40.63,340900000000
상신이디피,091580,11.26,99.69,138100000000
선광,003100,15.55,86.95,129800000000
선익시스템,171090,5.99,57.46,349800000000
셀바스AI,108860,10.13,48.49,360900000000
슈피겐코리아,192440,11.66,11.55,158800000000
시너지이노베이션,048870,26.49,32.45,247100000000
쎌바이오텍,049960,11.98,7.17,120700000000
씨젠,096530,23.02,20.91,1457100000000
에스앤디,260970,14.93,19.5,334400000000
